"Country","Indicator","Unit","Date","Value","Code"
"American Samoa","BMI adults % obese (>=30.0)","%","1/1/2004 0:00",74.6,"WSM"
"American Samoa","BMI adults % obese (>=30.0)","%","1/1/2007 0:00",74.6,"WSM"
"American Samoa","BMI adults % overweight (>=25.0)","%","1/1/2004 0:00",93.5,"WSM"
"American Samoa","BMI adults % pre-obese (25.0-29.99)","%","1/1/2004 0:00",18.9,"WSM"
"American Samoa","BMI adults % pre-obese (25.0-29.99)","%","1/1/2007 0:00",18.9,"WSM"
"American Samoa","BMI adults % underweight (<18.5)","%","1/1/2004 0:00",0.1,"WSM"
"American Samoa","BMI females % obese (>=30.0)","%","1/1/2004 0:00",80.2,"WSM"
"American Samoa","BMI females % obese (>=30.0)","%","1/1/2007 0:00",80.2,"WSM"
"American Samoa","BMI females % overweight (>=25.0)","%","1/1/2004 0:00",94.4,"WSM"
"American Samoa","BMI females % pre-obese (25.0-29.99)","%","1/1/2004 0:00",14,"WSM"
"American Samoa","BMI females % pre-obese (25.0-29.99)","%","1/1/2007 0:00",14,"WSM"
"American Samoa","BMI females % underweight (<18.5)","%","1/1/2004 0:00",0.2,"WSM"
"American Samoa","BMI males % obese (>=30.0)","%","1/1/2004 0:00",69.3,"WSM"
"American Samoa","BMI males % obese (>=30.0)","%","1/1/2007 0:00",69.3,"WSM"
"American Samoa","BMI males % overweight (>=25.0)","%","1/1/2004 0:00",92.7,"WSM"
"American Samoa","BMI males % pre-obese (25.0-29.99)","%","1/1/2004 0:00",23.5,"WSM"
"American Samoa","BMI males % pre-obese (25.0-29.99)","%","1/1/2007 0:00",23.5,"WSM"
"Argentina","BMI females % normal (18.5-24.99)","%","1/1/2004 0:00",52.3,"ARG"
"Argentina","BMI females % normal (18.5-24.99)","%","1/1/2005 0:00",52.3,"ARG"
"Argentina","BMI females % obese (>=30.0)","%","1/1/2004 0:00",19.4,"ARG"
"Argentina","BMI females % obese (>=30.0)","%","1/1/2005 0:00",19.4,"ARG"
"Argentina","BMI females % overweight (>=25.0)","%","1/1/2004 0:00",44.3,"ARG"
"Argentina","BMI females % overweight (>=25.0)","%","1/1/2005 0:00",44.3,"ARG"
"Argentina","BMI females % pre-obese (25.0-29.99)","%","1/1/2004 0:00",25,"ARG"
"Argentina","BMI females % pre-obese (25.0-29.99)","%","1/1/2005 0:00",25,"ARG"
"Argentina","BMI females % underweight (<18.5)","%","1/1/2004 0:00",3.4,"ARG"
"Argentina","BMI females % underweight (<18.5)","%","1/1/2005 0:00",3.4,"ARG"
"Armenia","BMI females % moderate and severe thinness (<=17)","%","1/1/2005 0:00",0.4,"ARM"
"Armenia","BMI females % normal (18.5-24.99)","%","1/1/2005 0:00",52.4,"ARM"
"Armenia","BMI females % obese (>=30.0)","%","1/1/2000 0:00",14.1,"ARM"
"Armenia","BMI females % obese (>=30.0)","%","1/1/2001 0:00",14.1,"ARM"
"Armenia","BMI females % obese (>=30.0)","%","1/1/2005 0:00",15.5,"ARM"
"Armenia","BMI females % overweight (>=25.0)","%","1/1/2000 0:00",41.5,"ARM"
"Armenia","BMI females % overweight (>=25.0)","%","1/1/2001 0:00",41.5,"ARM"
"Armenia","BMI females % overweight (>=25.0)","%","1/1/2005 0:00",42.4,"ARM"
"Armenia","BMI females % pre-obese (25.0-29.99)","%","1/1/2005 0:00",27,"ARM"
"Armenia","BMI females % underweight (<18.5)","%","1/1/2005 0:00",5.2,"ARM"
"Australia","BMI adults % normal (18.5-24.99)","%","1/1/1999 0:00",39.2,"AUS"
"Australia","BMI adults % normal (18.5-24.99)","%","1/1/2000 0:00",39.2,"AUS"
"Australia","BMI adults % obese (>=30.0)","%","1/1/1999 0:00",20.8,"AUS"
"Australia","BMI adults % obese (>=30.0)","%","1/1/2000 0:00",20.8,"AUS"
"Australia","BMI adults % obese (>=30.0)","%","1/1/2001 0:00",15.1,"AUS"
"Australia","BMI adults % obese (>=30.0)","%","1/1/2004 0:00",16.4,"AUS"
"Australia","BMI adults % obese (>=30.0)","%","1/1/2005 0:00",16.4,"AUS"
"Australia","BMI adults % overweight (>=25.0)","%","1/1/1999 0:00",59.8,"AUS"
"Australia","BMI adults % overweight (>=25.0)","%","1/1/2000 0:00",59.8,"AUS"
"Australia","BMI adults % overweight (>=25.0)","%","1/1/2001 0:00",46.2,"AUS"
"Australia","BMI adults % overweight (>=25.0)","%","1/1/2004 0:00",49,"AUS"
"Australia","BMI adults % overweight (>=25.0)","%","1/1/2005 0:00",49,"AUS"
"Australia","BMI adults % pre-obese (25.0-29.99)","%","1/1/1999 0:00",39,"AUS"
