"X","ghocode","ghodisplay","ghourl","publishstatecode","publishstatedisplay","publishstateurl","yearcode","yeardisplay","yearurl","regioncode","regiondisplay","regionurl","countrycode","countrydisplay","countryurl","agegroupcode","agegroupdisplay","agegroupurl","sexcode","sexdisplay","sexurl","displayvalue","numeric","low","high","comments"
1,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,1982,1982,NA,"EMR","Eastern Mediterranean",NA,"AFG","Afghanistan",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"21.3 [18.8-23.9]",21.3,18.8,23.9,""
2,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,1983,1983,NA,"EMR","Eastern Mediterranean",NA,"AFG","Afghanistan",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"21.3 [18.8-23.8]",21.3,18.8,23.8,""
3,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,1984,1984,NA,"EMR","Eastern Mediterranean",NA,"AFG","Afghanistan",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"21.3 [18.9-23.8]",21.3,18.9,23.8,""
4,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,1985,1985,NA,"EMR","Eastern Mediterranean",NA,"AFG","Afghanistan",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"21.3 [18.9-23.8]",21.3,18.9,23.8,""
5,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,1999,1999,NA,"EMR","Eastern Mediterranean",NA,"AFG","Afghanistan",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"20.7 [18.4-23.0]",20.7,18.4,23,""
6,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,2000,2000,NA,"EMR","Eastern Mediterranean",NA,"AFG","Afghanistan",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"20.6 [18.4-22.9]",20.6,18.4,22.9,""
7,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,2001,2001,NA,"EMR","Eastern Mediterranean",NA,"AFG","Afghanistan",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"20.6 [18.3-22.9]",20.6,18.3,22.9,""
8,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,2002,2002,NA,"EMR","Eastern Mediterranean",NA,"AFG","Afghanistan",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"20.6 [18.3-22.9]",20.6,18.3,22.9,""
9,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,1987,1987,NA,"EUR","Europe",NA,"ALB","Albania",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"25.1 [23.4-26.8]",25.1,23.4,26.8,""
10,"NCD_BMI_MEANC","Mean BMI (kg/m2) (crude estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2388","PUBLISHED","Published",NA,1988,1988,NA,"EUR","Europe",NA,"ALB","Albania",NA,"AGE20-PLUS","20+",NA,"MLE","Male",NA,"25.1 [23.5-26.7]",25.1,23.5,26.7,""
